date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:18:28	50006/50006	---M--	200	added ('OK')	image/png	etag:%22c356-59dc378ace53d%22	http://localhost/wordpress/wp-content/uploads/2020/02/A3-232x300.png	C:/My%20Web%20Sites/WORDPRESS%20WORKSHOP%20STATIC%20SITE/localhost/wordpress/wp-content/uploads/2020/02/A3-232x300.png	(from )
18:18:34	89133/89133	---M--	200	added ('OK')	image/png	etag:%2215c2d-59dc39e111cbf%22	http://localhost/wordpress/wp-content/uploads/2020/02/A4-1024x469.png	C:/My%20Web%20Sites/WORDPRESS%20WORKSHOP%20STATIC%20SITE/localhost/wordpress/wp-content/uploads/2020/02/A4-1024x469.png	(from )
18:18:40	74164/74164	---M--	200	added ('OK')	image/png	etag:%22121b4-59dc3b41b4e50%22	http://localhost/wordpress/wp-content/uploads/2020/02/A5-300x222.png	C:/My%20Web%20Sites/WORDPRESS%20WORKSHOP%20STATIC%20SITE/localhost/wordpress/wp-content/uploads/2020/02/A5-300x222.png	(from )
18:18:44	56664/56664	---M--	200	added ('OK')	image/png	etag:%22dd58-59dc3e4551a71%22	http://localhost/wordpress/wp-content/uploads/2020/02/A8-300x232.png	C:/My%20Web%20Sites/WORDPRESS%20WORKSHOP%20STATIC%20SITE/localhost/wordpress/wp-content/uploads/2020/02/A8-300x232.png	(from )
18:18:44	244821/244821	---M--	200	added ('OK')	image/png	etag:%223bc55-59dc35a52d0af%22	http://localhost/wordpress/wp-content/uploads/2020/02/A1-1024x538.png	C:/My%20Web%20Sites/WORDPRESS%20WORKSHOP%20STATIC%20SITE/localhost/wordpress/wp-content/uploads/2020/02/A1-1024x538.png	(from )
18:18:46	38404/38404	---M--	200	added ('OK')	image/png	etag:%229604-59dc3d4c2a46f%22	http://localhost/wordpress/wp-content/uploads/2020/02/A6-1024x248.png	C:/My%20Web%20Sites/WORDPRESS%20WORKSHOP%20STATIC%20SITE/localhost/wordpress/wp-content/uploads/2020/02/A6-1024x248.png	(from )
18:18:46	1399/1399	---M-Z	200	added ('OK')	application/javascript	etag:%22577-5942f1cbbd980-gzip%22	http://localhost/wordpress/wp-includes/js/wp-embed.min.js?ver=5.3.2	C:/My%20Web%20Sites/WORDPRESS%20WORKSHOP%20STATIC%20SITE/localhost/wordpress/wp-includes/js/wp-embed.min9dff.js	(from )
18:18:47	13714/13714	---M--	200	added ('OK')	image/jpeg	etag:%223592-59dd1278327bf%22	http://localhost/wordpress/wp-content/uploads/2020/02/76710842_2401648540084241_309934782928650240_o-300x300.jpg	C:/My%20Web%20Sites/WORDPRESS%20WORKSHOP%20STATIC%20SITE/localhost/wordpress/wp-content/uploads/2020/02/76710842_2401648540084241_309934782928650240_o-300x300.jpg	(from )
18:18:48	10056/10056	---M-Z	200	added ('OK')	application/javascript	etag:%222748-5333ff613c400-gzip%22	http://localhost/wordpress/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/My%20Web%20Sites/WORDPRESS%20WORKSHOP%20STATIC%20SITE/localhost/wordpress/wp-includes/js/jquery/jquery-migrate.min330a.js	(from )
18:18:48	28715/28715	---M--	200	added ('OK')	image/png	etag:%22702b-59dc3d9c032f1%22	http://localhost/wordpress/wp-content/uploads/2020/02/A7-1024x186.png	C:/My%20Web%20Sites/WORDPRESS%20WORKSHOP%20STATIC%20SITE/localhost/wordpress/wp-content/uploads/2020/02/A7-1024x186.png	(from )
18:18:49	6482/6482	---M-Z	200	added ('OK')	application/javascript	etag:%221952-59430f471e800-gzip%22	http://localhost/wordpress/wp-includes/js/jquery/ui/position.min.js?ver=1.11.4	C:/My%20Web%20Sites/WORDPRESS%20WORKSHOP%20STATIC%20SITE/localhost/wordpress/wp-includes/js/jquery/ui/position.mine899.js	(from )
18:18:49	10681/10681	---M-Z	200	added ('OK')	application/javascript	etag:%2229b9-59db87fffcd03-gzip%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/dialog/dialog.min.js?ver=4.7.3	C:/My%20Web%20Sites/WORDPRESS%20WORKSHOP%20STATIC%20SITE/localhost/wordpress/wp-content/plugins/elementor/assets/lib/dialog/dialog.minfe9d.js	(from )
18:18:50	12198/12198	---M-Z	200	added ('OK')	application/javascript	etag:%222fa6-59db88024b7e9-gzip%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	C:/My%20Web%20Sites/WORDPRESS%20WORKSHOP%20STATIC%20SITE/localhost/wordpress/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from )
18:18:51	59625/59625	---M-Z	200	added ('OK')	application/javascript	etag:%22e8e9-59db87ff65d76-gzip%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=2.8.5	C:/My%20Web%20Sites/WORDPRESS%20WORKSHOP%20STATIC%20SITE/localhost/wordpress/wp-content/plugins/elementor/assets/js/frontend-modules.min42e1.js	(from )
18:18:52	96873/96873	---M-Z	200	added ('OK')	application/javascript	etag:%2217a69-5890dc7401880-gzip%22	http://localhost/wordpress/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/My%20Web%20Sites/WORDPRESS%20WORKSHOP%20STATIC%20SITE/localhost/wordpress/wp-includes/js/jquery/jquery4a5f.js	(from )
18:18:55	94508/94508	---M-Z	200	added ('OK')	application/javascript	etag:%221712c-59db87ff7f033-gzip%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=2.8.5	C:/My%20Web%20Sites/WORDPRESS%20WORKSHOP%20STATIC%20SITE/localhost/wordpress/wp-content/plugins/elementor/assets/js/frontend.min42e1.js	(from )
18:18:56	125578/125578	---M-Z	200	added ('OK')	application/javascript	etag:%221ea8a-59db880216234-gzip%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/swiper/swiper.min.js?ver=4.4.6	C:/My%20Web%20Sites/WORDPRESS%20WORKSHOP%20STATIC%20SITE/localhost/wordpress/wp-content/plugins/elementor/assets/lib/swiper/swiper.min4f24.js	(from )
18:18:57	301015/301015	---M--	200	added ('OK')	image/png	etag:%22497d7-59dc3641a296f%22	http://localhost/wordpress/wp-content/uploads/2020/02/A2-1024x733.png	C:/My%20Web%20Sites/WORDPRESS%20WORKSHOP%20STATIC%20SITE/localhost/wordpress/wp-content/uploads/2020/02/A2-1024x733.png	(from )
18:18:57	196/196	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Feb%202020%2010:18:57%20GMT	http://localhost/robots.txt		(from http://localhost/wordpress/wp-content/themes/twentytwenty/style.css?ver=1.1)
18:19:12	223892/223892	---M--	200	added ('OK')	font/woff2	etag:%2236a94-59583f2a97700%22	http://localhost/wordpress/wp-content/themes/twentytwenty/assets/fonts/inter/Inter-upright-var.woff2	C:/My%20Web%20Sites/WORDPRESS%20WORKSHOP%20STATIC%20SITE/localhost/wordpress/wp-content/themes/twentytwenty/assets/fonts/inter/Inter-upright-var.woff2	(from http://localhost/wordpress/wp-content/themes/twentytwenty/style.css?ver=1.1)
18:19:13	236832/236832	---M--	200	added ('OK')	font/woff2	etag:%2239d20-59583f2a97700%22	http://localhost/wordpress/wp-content/themes/twentytwenty/assets/fonts/inter/Inter-italic-var.woff2	C:/My%20Web%20Sites/WORDPRESS%20WORKSHOP%20STATIC%20SITE/localhost/wordpress/wp-content/themes/twentytwenty/assets/fonts/inter/Inter-italic-var.woff2	(from http://localhost/wordpress/wp-content/themes/twentytwenty/style.css?ver=1.1)
